Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jarrett Allen,C,22,CLE,8,1,25.1,5.1,7.3,.707,0.0,0.0,0,5.1,7.3,.707,.707,3.1,4.0,.781,2.6,5.1,7.8,1.0,0.4,2.0,1.1,1.5,13.4
Kyle Anderson,PF,27,MEM,16,16,28.4,4.7,10.6,.444,1.4,4.1,.354,3.3,6.5,.500,.512,1.8,2.4,.763,1.0,6.0,7.0,3.7,0.8,0.7,1.8,2.0,12.6
Giannis Antetokounmpo,PF,26,MIL,19,19,32.9,10.1,18.1,.558,1.2,4.3,.280,8.9,13.8,.645,.592,5.9,9.9,.593,1.7,9.3,11.0,5.7,1.1,1.1,3.8,3.3,27.3
Kostas Antetokounmpo,PF,23,LAL,1,0,8.0,0.0,2.0,.000,0.0,0.0,0,0.0,2.0,.000,.000,0.0,0.0,0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
Thanasis Antetokounmpo,SF,28,MIL,14,0,9.7,1.1,1.7,.667,0.1,0.5,.286,1.0,1.2,.824,.708,0.1,0.2,.667,0.9,1.3,2.2,0.9,0.2,0.2,1.0,1.7,2.6
Carmelo Anthony,PF,36,POR,19,2,25.5,4.1,10.9,.372,1.4,4.3,.333,2.6,6.6,.397,.437,2.5,2.9,.873,0.5,3.1,3.6,1.2,0.9,0.6,0.9,2.0,12.1
Cole Anthony,PG,20,ORL,22,14,26.9,4.0,10.7,.373,1.1,3.4,.320,2.9,7.3,.398,.424,2.0,2.3,.860,0.8,3.7,4.5,3.6,0.6,0.4,2.0,2.2,11.0
OG Anunoby,SF,23,TOR,17,17,34.8,5.1,10.4,.486,2.5,5.7,.433,2.6,4.7,.550,.605,2.1,2.8,.745,1.6,4.2,5.8,1.6,2.1,0.5,1.8,2.9,14.6
Ryan Arcidiacono,PG,26,CHI,5,0,13.0,1.6,4.0,.400,1.2,2.6,.462,0.4,1.4,.286,.550,0.8,1.0,.800,0.0,2.4,2.4,2.4,0.4,0.0,0.4,1.4,5.2
D.J. Augustin,PG,33,MIL,19,0,16.8,1.8,4.9,.372,1.3,3.1,.424,0.5,1.8,.286,.505,0.9,0.9,.944,0.4,0.9,1.4,2.6,0.5,0.0,0.8,0.4,5.9
Deni Avdija,SF,20,WAS,13,13,22.6,2.6,5.5,.472,1.4,3.1,.450,1.2,2.5,.500,.597,0.5,0.7,.667,0.6,3.5,4.1,2.1,0.8,0.2,0.5,2.6,7.1
Deandre Ayton,C,22,PHO,19,19,31.9,6.1,10.7,.569,0.1,0.6,.182,6.0,10.2,.591,.574,1.9,2.7,.706,3.7,9.2,12.8,1.9,0.4,1.1,2.1,3.4,14.2
Udoka Azubuike,C,21,UTA,12,0,4.1,0.3,0.6,.571,0.0,0.0,0,0.3,0.6,.571,.571,0.3,0.5,.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0
Dwayne Bacon,SG,25,ORL,22,14,23.4,3.8,9.2,.416,0.8,2.4,.346,3.0,6.8,.440,.460,1.2,1.5,.765,0.4,2.8,3.1,1.0,0.7,0.1,0.7,1.7,9.6
Marvin Bagley III,PF,21,SAC,20,20,25.8,5.3,11.2,.475,1.0,2.8,.357,4.3,8.4,.515,.520,1.5,3.0,.500,2.2,5.5,7.7,1.0,0.5,0.6,1.7,2.8,13.1
LaMelo Ball,PG,19,CHO,21,1,25.3,4.4,10.5,.423,1.3,4.3,.308,3.1,6.1,.504,.486,2.0,2.6,.782,1.5,4.4,5.9,6.1,1.4,0.3,2.5,2.6,12.2
Lonzo Ball,PG,23,NOP,16,16,30.8,4.8,12.1,.399,2.4,7.3,.325,2.4,4.8,.513,.497,0.6,0.9,.643,0.4,3.4,3.8,4.8,1.5,0.6,2.2,2.4,12.6
Mo Bamba,C,22,ORL,8,0,5.9,1.9,3.4,.556,0.4,1.1,.333,1.5,2.3,.667,.611,0.3,0.4,.667,0.9,1.8,2.6,0.3,0.0,0.4,0.4,1.4,4.4
Desmond Bane,SG,22,MEM,16,0,22.4,3.6,7.3,.487,1.9,3.8,.508,1.6,3.5,.464,.620,0.5,0.6,.800,0.4,2.4,2.9,1.4,0.6,0.1,1.1,1.9,9.6
Harrison Barnes,PF,28,SAC,20,20,35.5,5.7,11.2,.504,1.9,4.3,.435,3.8,7.0,.547,.587,3.7,4.3,.860,1.0,5.3,6.3,3.5,0.8,0.2,1.6,1.1,16.9
RJ Barrett,SG,20,NYK,22,22,36.0,6.7,15.5,.430,1.0,3.8,.274,5.6,11.7,.481,.463,3.4,4.5,.758,1.4,5.1,6.5,3.3,0.8,0.2,1.9,2.6,17.8
Will Barton,SF,30,DEN,20,16,28.5,4.1,9.8,.418,1.6,4.0,.392,2.6,5.9,.436,.497,1.3,1.8,.722,0.5,3.5,4.0,3.1,0.8,0.6,1.3,1.8,11.1
Keita Bates-Diop,SF,25,SAS,6,0,2.5,0.0,0.8,.000,0.0,0.3,.000,0.0,0.5,.000,.000,0.3,0.3,1.000,0.0,0.2,0.2,0.3,0.0,0.0,0.0,0.0,0.3
Nicolas Batum,SF,32,LAC,21,21,29.5,3.5,7.0,.500,2.2,4.8,.465,1.3,2.2,.574,.659,1.0,1.2,.846,0.9,4.0,4.9,2.5,1.2,0.3,0.7,1.9,10.3
Aron Baynes,C,34,TOR,18,18,18.6,2.3,5.7,.398,0.6,2.5,.222,1.7,3.2,.534,.447,0.2,0.2,.750,1.4,4.3,5.8,0.7,0.2,0.4,0.7,2.4,5.3
Kent Bazemore,SF,31,GSW,19,0,15.2,1.9,3.7,.507,0.8,1.7,.455,1.1,2.0,.553,.613,0.7,0.9,.765,0.4,2.5,2.8,1.6,0.8,0.5,1.1,2.1,5.3
Darius Bazley,PF,20,OKC,19,19,29.6,4.2,10.4,.404,1.4,5.0,.284,2.8,5.4,.515,.472,1.3,1.8,.714,0.6,6.4,7.0,1.5,0.4,0.8,1.8,1.1,11.2
Bradley Beal,SG,27,WAS,16,16,35.9,12.5,25.8,.485,2.6,7.4,.356,9.9,18.4,.537,.536,7.4,8.4,.881,1.4,3.6,4.9,4.7,1.3,0.6,3.3,2.5,35.0
Malik Beasley,SG,24,MIN,20,20,31.7,7.3,16.3,.445,2.8,7.6,.368,4.5,8.7,.511,.531,2.4,2.7,.870,0.8,4.1,4.9,2.3,0.7,0.2,1.6,1.5,19.7
Jordan Bell,C,26,WAS,3,1,16.7,1.7,5.0,.333,0.0,0.7,.000,1.7,4.3,.385,.333,0.0,0.0,0,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3
DeAndre' Bembry,SF,26,TOR,12,0,8.9,1.2,2.3,.519,0.2,0.4,.400,1.0,1.8,.545,.556,0.3,0.3,.750,0.3,0.9,1.3,1.3,0.6,0.3,0.6,0.9,2.8
Dāvis Bertāns,PF,28,WAS,14,0,25.0,3.1,9.4,.333,2.6,8.1,.316,0.6,1.3,.444,.470,1.7,2.2,.774,0.4,2.5,2.9,1.1,0.5,0.2,0.5,2.5,10.6
Patrick Beverley,PG,32,LAC,16,16,25.6,2.6,6.6,.400,1.8,4.4,.414,0.8,2.2,.371,.538,1.0,1.3,.762,1.3,3.2,4.4,2.1,1.0,0.8,0.8,3.5,8.1
Saddiq Bey,SF,21,DET,19,5,17.9,2.2,6.3,.350,1.6,4.3,.366,0.6,2.0,.316,.475,1.2,1.4,.815,0.3,2.8,3.2,0.6,0.4,0.0,0.7,1.4,7.2
Tyler Bey,SF,22,DAL,4,0,3.3,0.5,1.3,.400,0.0,0.0,0,0.5,1.3,.400,.400,0.5,1.0,.500,0.5,0.3,0.8,0.0,0.0,0.3,0.0,0.5,1.5
